prc_energy_h_1,prc_energy_h_2,prc_energy_h_3,ridge_energy_h_1,ridge_energy_h_2,ridge_energy_h_3,lasso_energy_h_1,lasso_energy_h_2,lasso_energy_h_3,xgb_energy_h_1,xgb_energy_h_2,xgb_energy_h_3,cb_ridge_lasso_energy_h_1,cb_ridge_lasso_energy_h_2,cb_ridge_lasso_energy_h_3,cb_ridge_pcr_energy_h_1,cb_ridge_pcr_energy_h_2,cb_ridge_pcr_energy_h_3,cb_ridge_prc_lasso_energy_h_1,cb_ridge_prc_lasso_energy_h_2,cb_ridge_prc_lasso_energy_h_3,ar_1_energy_h_1,ar_1_energy_h_2,ar_1_energy_h_3,xgb_pca_energy_h_1,xgb_pca_energy_h_2,xgb_pca_energy_h_3
3.1800925867988328,2.3871638050131287,2.7754955520818676,3.491957109006897,4.098081051821511,4.122835380650361,3.5465185950905305,4.19279388409751,4.237646788457315,3.742886,4.3007574,3.5172842,3.5192378520487138,4.1454374679595105,4.180241084553838,3.491957109006897,4.098081051821511,4.122835380650361,3.406189430298754,3.5593462469773836,3.711992573729848,4.051138550498637,4.691287245018715,4.314914844020695,3.768512,3.8742623,2.9095216
2.2649502774475274,3.191634139321108,2.5642915625012255,1.468056569575491,3.343394121953828,4.0507369297373295,1.5688996748064077,3.401001178469296,4.1338566283939215,2.0225353,2.9763157,3.1712513,1.5184781221909494,3.372197650211562,4.0922967790656255,1.468056569575491,3.343394121953828,4.0507369297373295,1.7673021739431425,3.312009813248077,3.582961706877492,2.4666742201182084,3.984184342536242,4.585212985695791,2.4513547,3.6126127,3.0762725
2.085877502778168,2.2381115507925715,3.319770544455219,1.283322736363503,1.1731383420856172,3.320858180152579,1.4202339380965745,1.3069108986382016,3.3751376144534104,2.402485,0.8936088,2.8341396,1.3517783372300387,1.2400246203619094,3.347997897302995,1.283322736363503,1.1731383420856172,3.320858180152579,1.5964780590794152,1.5727202638387967,3.3385887796870697,2.3767471855283846,2.504448402675625,3.9237240996931426,2.3509777,2.2882729,2.858134
-0.3683281214830955,1.5514988161996546,1.793018833398569,-0.6642200524129748,0.7633278745927196,1.0888661000423072,-0.4740528505566356,0.9628591088461338,1.203243269254283,0.43751758,1.5954933,0.4169649,-0.5691364514848052,0.8630934917194266,1.146054684648295,-0.6642200524129748,0.7633278745927196,1.0888661000423072,-0.5022003414842353,1.092561933212836,1.3617094008983863,0.8047236213497982,2.420465278223905,2.5394434313490546,-0.054026756,1.7919835,1.4946389
-2.497414402103129,-1.3943403636733875,0.5633294373286057,-1.89799959004355,-1.2681491290608182,0.5289485358394854,-1.763018582099321,-0.9810852823584018,0.735800776130314,-1.2473781,-1.2449958,1.4488608,-1.8305090860714357,-1.12461720570961,0.6323746559848997,-1.89799959004355,-1.2681491290608182,0.5289485358394854,-2.0528108580819997,-1.2145249250308692,0.6093595830994684,-1.0018944181950271,0.9523478068357524,2.460877916709596,-1.5852995,-0.7327692,2.308107
-3.931792651206581,-4.14013563313082,-3.1183105561946496,-2.574086091573816,-2.0601502464041532,-1.522051805138527,-2.535911514348596,-1.8511157120508897,-1.1500111440160357,-3.5058942,-1.2450739,-1.8064288,-2.5549988029612063,-1.955632979227521,-1.3360314745772812,-2.574086091573816,-2.0601502464041532,-1.522051805138527,-3.013930085709664,-2.683800530528621,-1.9301245017830704,-1.87966218387397,-0.7348581412294505,1.0874662290187134,-3.1924167,-0.93980384,-1.4565933
-3.183934345317076,-3.0531124929920703,-3.22754333915558,-3.8951196570275792,-2.697188677455021,-2.180126650989234,-3.9072272215238906,-2.5954786435085566,-1.8861056099627571,-6.0020986,-3.5162675,-2.7170177,-3.901173439275735,-2.6463336604817886,-2.0331161304759955,-3.8951196570275792,-2.697188677455021,-2.180126650989234,-3.662093741289515,-2.7819266046518827,-2.4312585333691907,-3.5899510669900634,-1.554608062273383,-0.4909009069730076,-5.4693875,-2.4134605,-2.0159154
1.837751999286885,-1.2341574299653826,-1.139136776158857,-0.439389319478188,-3.9042640557183583,-2.5130534092961505,-0.4124947997315907,-3.8228079431735034,-2.3980377506885544,-0.49508053,-5.7147884,-1.6355804,-0.4259420596048893,-3.863535999445931,-2.4555455799923527,-0.439389319478188,-3.9042640557183583,-2.5130534092961505,0.3286226266923688,-2.987076476285748,-2.0167426453811874,0.2555968610845041,-3.151851925303938,-1.25777014222629,-0.006783955,-6.002864,-1.3222076
3.381284469160352,1.835388173207776,-1.1271296595986098,2.682739084218592,-0.6053480765213911,-3.700048965636291,2.60435033554567,-0.512180191024103,-3.639843825021393,3.1228232,1.5093608,-5.7259,2.643544709882131,-0.558764133772747,-3.669946395328842,2.682739084218592,-0.6053480765213911,-3.700048965636291,2.889457962974871,0.2392866352207606,-2.822340816752098,3.3232235375483934,0.439516695952565,-2.7519784956658215,3.4263453,-0.5426116,-5.3296814
1.080353833669676,2.6701861743993476,0.8687666462105124,1.1422879660455718,2.5183840237424304,-0.5825200781598661,0.9887327731406504,2.486640979069123,-0.4867478136981418,1.5591853,2.789541,-0.04586009,1.0655103695931112,2.5025125014057767,-0.5346339459290039,1.1422879660455718,2.5183840237424304,-0.5825200781598661,1.070458190951966,2.558403725736967,-0.0668337485491651,2.2043562999871877,3.3043823519367024,0.60771698876718,2.2736068,3.7584937,0.09565447
